Junction,Net,Center_column,Center_row,Landing_column,Landing_row
0,A0,67,6,68,6
0,A0,67,6,67,7
1,A0,80,6,79,6
1,A0,80,6,80,7
2,A2,51,10,50,10
2,A2,51,10,51,11
3,A2,84,10,84,9
3,A2,84,10,84,11
4,A3,61,7,60,7
4,A3,61,7,61,8
5,A3,104,23,104,22
5,A3,104,23,103,23
6,A4,80,41,79,41
6,A4,80,41,81,41
7,A4,53,50,53,49
7,A4,53,50,53,51
8,A4,78,50,77,50
8,A4,78,50,79,50
9,A5,52,51,52,50
9,A5,52,51,51,51
10,A6,59,33,58,33
10,A6,59,33,59,34
11,A6,85,40,84,40
11,A6,85,40,86,40
12,A6,59,48,60,48
12,A6,59,48,59,49
13,A7,63,29,62,29
13,A7,63,29,64,29
14,A7,73,49,72,49
14,A7,73,49,74,49
15,A7,73,56,73,55
15,A7,73,56,72,56
16,B0,95,16,95,15
16,B0,95,16,96,16
17,B0,57,35,56,35
17,B0,57,35,57,36
18,B1,85,18,84,18
18,B1,85,18,86,18
19,B1,47,23,48,23
19,B1,47,23,47,24
20,B1,68,35,68,34
20,B1,68,35,68,36
21,B2,106,10,107,10
21,B2,106,10,106,11
22,B4,70,42,69,42
22,B4,70,42,70,43
23,B4,44,54,43,54
23,B4,44,54,45,54
24,B4,56,54,56,53
24,B4,56,54,55,54
25,B5,69,54,70,54
25,B5,69,54,69,55
26,B5,83,54,82,54
26,B5,83,54,84,54
27,B5,50,56,49,56
27,B5,50,56,51,56
28,B6,87,43,86,43
28,B6,87,43,88,43
29,B6,63,47,63,46
29,B6,63,47,64,47
30,B7,47,39,48,39
30,B7,47,39,47,40
31,B7,46,73,45,73
31,B7,46,73,47,73
32,BX7,99,35,98,35
32,BX7,99,35,99,36
33,OP0,23,21,22,21
33,OP0,23,21,24,21
34,OP0,29,38,30,38
34,OP0,29,38,29,39
35,OP0,80,38,79,38
35,OP0,80,38,81,38
36,OP1,30,12,31,12
36,OP1,30,12,30,13
37,R0,12,31,12,30
37,R0,12,31,12,32
38,R1,20,42,19,42
38,R1,20,42,21,42
39,R3,13,33,14,33
39,R3,13,33,13,34
40,R5,24,43,23,43
40,R5,24,43,25,43
41,R6,15,45,14,45
41,R6,15,45,16,45
42,R7,14,42,13,42
42,R7,14,42,14,43
43,R7,38,50,38,49
43,R7,38,50,38,51
44,SUB,102,8,103,8
44,SUB,102,8,102,9
45,SUB,105,8,106,8
45,SUB,105,8,105,9
46,SUB,105,18,104,18
46,SUB,105,18,105,19
47,SUB,105,29,105,28
47,SUB,105,29,104,29
48,SUB,105,41,105,40
48,SUB,105,41,104,41
49,SUB,106,44,107,44
49,SUB,106,44,106,45
50,SUB,105,51,105,50
50,SUB,105,51,106,51
51,SUM7,82,59,81,59
51,SUM7,82,59,82,60
