Junction,Net,Center_column,Center_row,Landing_column,Landing_row
0,A2,58,7,59,7
0,A2,58,7,58,8
1,A2,58,11,57,11
1,A2,58,11,59,11
2,A2,78,11,77,11
2,A2,78,11,79,11
3,A3,44,9,43,9
3,A3,44,9,44,10
4,A3,61,10,60,10
4,A3,61,10,62,10
5,A3,80,19,80,18
5,A3,80,19,80,20
6,A4,111,37,110,37
6,A4,111,37,111,38
7,A4,78,50,78,49
7,A4,78,50,78,51
8,A4,43,56,42,56
8,A4,43,56,43,57
9,A5,50,33,49,33
9,A5,50,33,51,33
10,A5,92,56,91,56
10,A5,92,56,92,57
11,A6,98,38,97,38
11,A6,98,38,99,38
12,A7,43,40,42,40
12,A7,43,40,44,40
13,A7,47,40,46,40
13,A7,47,40,48,40
14,A7,77,40,76,40
14,A7,77,40,77,41
15,A7,82,43,83,43
15,A7,82,43,82,44
16,B0,80,8,79,8
16,B0,80,8,81,8
17,B0,67,71,67,70
17,B0,67,71,66,71
18,B1,86,22,85,22
18,B1,86,22,87,22
19,B1,47,23,48,23
19,B1,47,23,47,24
20,B1,71,27,70,27
20,B1,71,27,71,28
21,B2,35,32,35,31
21,B2,35,32,35,33
22,B3,46,1,45,1
22,B3,46,1,47,1
23,B3,71,9,72,9
23,B3,71,9,71,10
24,B3,78,26,77,26
24,B3,78,26,78,27
25,B4,44,55,43,55
25,B4,44,55,45,55
26,B4,73,56,73,55
26,B4,73,56,73,57
27,B4,73,61,74,61
27,B4,73,61,73,62
28,B5,47,51,46,51
28,B5,47,51,48,51
29,B5,72,53,73,53
29,B5,72,53,72,54
30,B5,83,53,83,52
30,B5,83,53,84,53
31,B6,90,41,89,41
31,B6,90,41,91,41
32,B6,29,52,29,51
32,B6,29,52,29,53
33,B6,68,63,68,62
33,B6,68,63,67,63
34,B7,95,43,96,43
34,B7,95,43,95,44
35,B7,43,66,42,66
35,B7,43,66,44,66
36,B7,76,72,76,71
36,B7,76,72,75,72
37,BX7,100,40,99,40
37,BX7,100,40,101,40
38,OP1,11,18,12,18
38,OP1,11,18,11,19
39,R0,10,35,10,34
39,R0,10,35,9,35
40,R1,12,43,12,42
40,R1,12,43,12,44
41,R4,25,33,24,33
41,R4,25,33,26,33
42,R5,15,42,14,42
42,R5,15,42,16,42
43,R6,25,48,24,48
43,R6,25,48,25,49
44,R7,28,38,29,38
44,R7,28,38,28,39
45,R7,9,45,9,44
45,R7,9,45,9,46
46,SUB,108,8,107,8
46,SUB,108,8,109,8
47,SUB,107,19,107,18
47,SUB,107,19,108,19
48,SUB,113,19,112,19
48,SUB,113,19,113,20
49,SUB,113,29,112,29
49,SUB,113,29,113,30
50,SUB,106,35,105,35
50,SUB,106,35,107,35
51,SUB,113,35,112,35
51,SUB,113,35,113,36
52,SUB,105,52,105,51
52,SUB,105,52,106,52
53,SUB,113,52,113,51
53,SUB,113,52,113,53
54,SUM7,102,56,102,55
54,SUM7,102,56,103,56
