Junction,Net,Center_column,Center_row,Landing_column,Landing_row
0,A0,73,12,73,11
0,A0,73,12,73,13
1,A0,41,28,41,27
1,A0,41,28,40,28
2,A0,73,35,74,35
2,A0,73,35,73,36
3,A1,60,16,60,15
3,A1,60,16,61,16
4,A1,60,19,60,18
4,A1,60,19,60,20
5,A1,93,20,92,20
5,A1,93,20,94,20
6,A2,81,3,80,3
6,A2,81,3,82,3
7,A2,53,20,53,19
7,A2,53,20,54,20
8,A3,45,4,44,4
8,A3,45,4,46,4
9,A3,80,19,81,19
9,A3,80,19,80,20
10,A3,58,21,57,21
10,A3,58,21,58,22
11,A4,77,40,76,40
11,A4,77,40,78,40
12,A4,89,74,88,74
12,A4,89,74,90,74
13,A7,72,38,73,38
13,A7,72,38,72,39
14,A7,72,49,73,49
14,A7,72,49,72,50
15,A7,57,52,58,52
15,A7,57,52,57,53
16,A7,80,55,80,54
16,A7,80,55,81,55
17,B0,96,16,97,16
17,B0,96,16,96,17
18,B0,43,31,42,31
18,B0,43,31,44,31
19,B0,65,63,64,63
19,B0,65,63,65,64
20,B1,85,21,84,21
20,B1,85,21,86,21
21,B1,52,30,52,29
21,B1,52,30,53,30
22,B1,69,30,68,30
22,B1,69,30,69,31
23,B2,71,8,70,8
23,B2,71,8,71,9
24,B2,85,8,84,8
24,B2,85,8,85,9
25,B2,46,17,46,16
25,B2,46,17,47,17
26,B3,70,10,69,10
26,B3,70,10,70,11
27,B3,88,10,87,10
27,B3,88,10,89,10
28,B3,70,35,70,34
28,B3,70,35,70,36
29,B4,81,44,80,44
29,B4,81,44,81,45
30,B4,66,48,66,47
30,B4,66,48,66,49
31,B5,64,72,65,72
31,B5,64,72,64,73
32,B5,46,75,45,75
32,B5,46,75,47,75
33,B6,84,43,83,43
33,B6,84,43,85,43
34,B6,52,46,52,45
34,B6,52,46,52,47
35,B6,67,46,67,45
35,B6,67,46,67,47
36,B7,53,56,53,55
36,B7,53,56,52,56
37,B7,73,58,74,58
37,B7,73,58,73,59
38,B7,75,58,75,57
38,B7,75,58,75,59
39,BX7,98,41,97,41
39,BX7,98,41,99,41
40,OP0,25,12,26,12
40,OP0,25,12,25,13
41,OP0,29,16,30,16
41,OP0,29,16,29,17
42,OP0,77,31,78,31
42,OP0,77,31,77,32
43,OP1,15,8,14,8
43,OP1,15,8,15,9
44,R1,16,29,17,29
44,R1,16,29,16,30
45,R2,11,32,11,31
45,R2,11,32,11,33
46,R3,19,34,19,33
46,R3,19,34,19,35
47,R4,9,55,9,54
47,R4,9,55,9,56
48,R5,8,45,9,45
48,R5,8,45,8,46
49,R6,29,60,29,59
49,R6,29,60,30,60
50,R7,24,54,23,54
50,R7,24,54,25,54
51,SUB,100,7,101,7
51,SUB,100,7,100,8
52,SUB,102,9,102,8
52,SUB,102,9,103,9
53,SUB,102,17,102,16
53,SUB,102,17,101,17
54,SUB,110,37,110,36
54,SUB,110,37,109,37
55,SUB,109,41,109,40
55,SUB,109,41,108,41
56,SUB,100,48,100,47
56,SUB,100,48,100,49
57,SUB,106,52,107,52
57,SUB,106,52,106,53
58,SUM7,96,57,95,57
58,SUM7,96,57,97,57
